C_R14,4mm*4mm电极,16mm,11mm
C_R13,4mm*4mm电极,22mm,8mm
C_R12,4mm*4mm电极,16mm,5mm
C_R11,4mm*4mm电极,22mm,2mm
C_R10,4mm*4mm电极,28mm,5mm
C_R9,4mm*4mm电极,28mm,-1mm
C_R8,4mm*4mm电极,16mm,-1mm
C_R7,4mm*4mm电极,16mm,-19mm
C_R6,4mm*4mm电极,16mm,-13mm
C_R5,4mm*4mm电极,22mm,-16mm
C_R4,4mm*4mm电极,28mm,-13mm
C_R3,4mm*4mm电极,22mm,-10mm
C_R2,4mm*4mm电极,16mm,-7mm
C_R1,4mm*4mm电极,28mm,-7mm
C_L14,4mm*4mm电极,-16mm,-1mm
C_L13,4mm*4mm电极,-22mm,2mm
C_L12,4mm*4mm电极,-28mm,-1mm
C_L11,4mm*4mm电极,-16mm,5mm
C_L10,4mm*4mm电极,-28mm,5mm
C_L9,4mm*4mm电极,-16mm,11mm
C_L8,4mm*4mm电极,-22mm,8mm
C_L7,4mm*4mm电极,-22mm,-4mm
C_L6,4mm*4mm电极,-16mm,-7mm
C_L5,4mm*4mm电极,-28mm,-7mm
C_L4,4mm*4mm电极,-22mm,-10mm
C_L3,4mm*4mm电极,-28mm,-13mm
C_L2,4mm*4mm电极,-16mm,-13mm
C_L1,4mm*4mm电极,-22mm,-16mm
C_L0,4mm*4mm电极,-16mm,-19mm
C_R0,4mm*4mm电极,22mm,-4mm
